time_sec,q_ref_axis_e,q_ref_axis_d,q_ref_axis_c,q_ref_axis_b,qdot_ref_axis_e,qdot_ref_axis_d,qdot_ref_axis_c,qdot_ref_axis_b
2.400000,3.140544,0.717376,0.417376,2.117376,0.044800,0.019200,0.019200,0.019200
2.440000,3.142358,0.718154,0.418154,2.118154,0.045921,0.019680,0.019680,0.019680
2.480000,3.144218,0.718950,0.418950,2.118950,0.047042,0.020161,0.020161,0.020161
2.520000,3.146122,0.719766,0.419766,2.119766,0.048165,0.020642,0.020642,0.020642
2.560000,3.148071,0.720602,0.420602,2.120602,0.049288,0.021123,0.021123,0.021123
2.600000,3.150065,0.721456,0.421456,2.121456,0.050410,0.021604,0.021604,0.021604
2.640000,3.152104,0.722330,0.422330,2.122330,0.051531,0.022085,0.022085,0.022085
2.680000,3.154187,0.723223,0.423223,2.123223,0.052652,0.022565,0.022565,0.022565
2.720000,3.156316,0.724135,0.424135,2.124135,0.053771,0.023045,0.023045,0.023045
2.760000,3.158489,0.725067,0.425067,2.125067,0.054888,0.023523,0.023523,0.023523
2.800000,3.160707,0.726017,0.426017,2.126017,0.056002,0.024001,0.024001,0.024001
2.840000,3.162969,0.726987,0.426987,2.126987,0.057114,0.024477,0.024477,0.024477
2.880000,3.165276,0.727975,0.427975,2.127975,0.058222,0.024952,0.024952,0.024952
2.920000,3.167627,0.728983,0.428983,2.128983,0.059327,0.025426,0.025426,0.025426
2.960000,3.170022,0.730009,0.430009,2.130009,0.060427,0.025897,0.025897,0.025897
3.000000,3.172461,0.731055,0.431055,2.131055,0.061523,0.026367,0.026367,0.026367
3.040000,3.174944,0.732119,0.432119,2.132119,0.062615,0.026835,0.026835,0.026835
3.080000,3.177470,0.733201,0.433201,2.133201,0.063701,0.027300,0.027300,0.027300
3.120000,3.180040,0.734303,0.434303,2.134303,0.064781,0.027763,0.027763,0.027763
3.160000,3.182652,0.735422,0.435422,2.135422,0.065855,0.028224,0.028224,0.028224
3.200000,3.185308,0.736561,0.436561,2.136561,0.066923,0.028681,0.028681,0.028681
3.240000,3.188006,0.737717,0.437717,2.137717,0.067985,0.029136,0.029136,0.029136
3.280000,3.190747,0.738891,0.438891,2.138891,0.069039,0.029588,0.029588,0.029588
3.320000,3.193529,0.740084,0.440084,2.140084,0.070086,0.030037,0.030037,0.030037
3.360000,3.196353,0.741294,0.441294,2.141294,0.071124,0.030482,0.030482,0.030482
3.400000,3.199219,0.742522,0.442522,2.142522,0.072155,0.030924,0.030924,0.030924
3.440000,3.202126,0.743768,0.443768,2.143768,0.073177,0.031362,0.031362,0.031362
3.480000,3.205073,0.745031,0.445031,2.145031,0.074191,0.031796,0.031796,0.031796
3.520000,3.208061,0.746312,0.446312,2.146312,0.075195,0.032227,0.032227,0.032227
3.560000,3.211089,0.747609,0.447609,2.147609,0.076190,0.032653,0.032653,0.032653
3.600000,3.214156,0.748924,0.448924,2.148924,0.077175,0.033075,0.033075,0.033075
3.640000,3.217263,0.750255,0.450255,2.150255,0.078150,0.033493,0.033493,0.033493
3.680000,3.220408,0.751603,0.451603,2.151603,0.079114,0.033906,0.033906,0.033906
3.720000,3.223592,0.752968,0.452968,2.152968,0.080068,0.034315,0.034315,0.034315
3.760000,3.226813,0.754348,0.454348,2.154348,0.081011,0.034719,0.034719,0.034719
3.800000,3.230072,0.755745,0.455745,2.155745,0.081942,0.035118,0.035118,0.035118
3.840000,3.233368,0.757158,0.457158,2.157158,0.082862,0.035512,0.035512,0.035512
3.880000,3.236701,0.758586,0.458586,2.158586,0.083770,0.035901,0.035901,0.035901
3.920000,3.240070,0.760030,0.460030,2.160030,0.084666,0.036285,0.036285,0.036285
3.960000,3.243474,0.761489,0.461489,2.161489,0.085549,0.036664,0.036664,0.036664
4.000000,3.246914,0.762963,0.462963,2.162963,0.086420,0.037037,0.037037,0.037037
4.040000,3.250388,0.764452,0.464452,2.164452,0.087277,0.037405,0.037405,0.037405
4.080000,3.253896,0.765955,0.465955,2.165955,0.088122,0.037767,0.037767,0.037767
4.120000,3.257437,0.767473,0.467473,2.167473,0.088953,0.038123,0.038123,0.038123
4.160000,3.261012,0.769005,0.469005,2.169005,0.089770,0.038473,0.038473,0.038473
4.200000,3.264619,0.770551,0.470551,2.170551,0.090573,0.038817,0.038817,0.038817
4.240000,3.268257,0.772110,0.472110,2.172110,0.091363,0.039155,0.039155,0.039155
4.280000,3.271927,0.773683,0.473683,2.173683,0.092137,0.039487,0.039487,0.039487
4.320000,3.275628,0.775269,0.475269,2.175269,0.092897,0.039813,0.039813,0.039813
4.360000,3.279359,0.776868,0.476868,2.176868,0.093642,0.040132,0.040132,0.040132
4.400000,3.283119,0.778480,0.478480,2.178480,0.094373,0.040445,0.040445,0.040445
4.440000,3.286909,0.780104,0.480104,2.180104,0.095087,0.040752,0.040752,0.040752
4.480000,3.290726,0.781740,0.481740,2.181740,0.095787,0.041051,0.041051,0.041051
4.520000,3.294571,0.783388,0.483388,2.183388,0.096470,0.041344,0.041344,0.041344
4.560000,3.298443,0.785047,0.485047,2.185047,0.097138,0.041631,0.041631,0.041631
4.600000,3.302342,0.786718,0.486718,2.186718,0.097789,0.041910,0.041910,0.041910
4.640000,3.306266,0.788400,0.488400,2.188400,0.098425,0.042182,0.042182,0.042182
4.680000,3.310216,0.790093,0.490093,2.190093,0.099044,0.042447,0.042447,0.042447
4.720000,3.314190,0.791796,0.491796,2.191796,0.099646,0.042705,0.042705,0.042705
4.760000,3.318187,0.793509,0.493509,2.193509,0.100231,0.042956,0.042956,0.042956
4.800000,3.322208,0.795232,0.495232,2.195232,0.100800,0.043200,0.043200,0.043200
4.840000,3.326251,0.796965,0.496965,2.196965,0.101351,0.043436,0.043436,0.043436
4.880000,3.330316,0.798707,0.498707,2.198707,0.101886,0.043665,0.043665,0.043665
4.920000,3.334402,0.800458,0.500458,2.200458,0.102402,0.043887,0.043887,0.043887
4.960000,3.338508,0.802218,0.502218,2.202218,0.102902,0.044101,0.044101,0.044101
5.000000,3.342634,0.803986,0.503986,2.203986,0.103383,0.044307,0.044307,0.044307
5.040000,3.346778,0.805762,0.505762,2.205762,0.103847,0.044506,0.044506,0.044506
5.080000,3.350941,0.807546,0.507546,2.207546,0.104292,0.044697,0.044697,0.044697
5.120000,3.355121,0.809338,0.509338,2.209338,0.104720,0.044880,0.044880,0.044880
5.160000,3.359318,0.811136,0.511136,2.211136,0.105130,0.045056,0.045056,0.045056
5.200000,3.363532,0.812942,0.512942,2.212942,0.105521,0.045223,0.045223,0.045223
5.240000,3.367760,0.814754,0.514754,2.214754,0.105893,0.045383,0.045383,0.045383
5.280000,3.372003,0.816573,0.516573,2.216573,0.106248,0.045535,0.045535,0.045535
5.320000,3.376259,0.818397,0.518397,2.218397,0.106583,0.045679,0.045679,0.045679
5.360000,3.380529,0.820227,0.520227,2.220227,0.106900,0.045814,0.045814,0.045814
5.400000,3.384811,0.822062,0.522062,2.222062,0.107198,0.045942,0.045942,0.045942
5.440000,3.389105,0.823902,0.523902,2.223902,0.107478,0.046062,0.046062,0.046062
5.480000,3.393409,0.825747,0.525747,2.225747,0.107738,0.046173,0.046173,0.046173
5.520000,3.397724,0.827596,0.527596,2.227596,0.107979,0.046277,0.046277,0.046277
5.560000,3.402047,0.829449,0.529449,2.229449,0.108202,0.046372,0.046372,0.046372
5.600000,3.406379,0.831305,0.531305,2.231305,0.108405,0.046459,0.046459,0.046459
5.640000,3.410719,0.833165,0.533165,2.233165,0.108589,0.046538,0.046538,0.046538
5.680000,3.415066,0.835028,0.535028,2.235028,0.108754,0.046609,0.046609,0.046609
5.720000,3.419419,0.836894,0.536894,2.236894,0.108899,0.046671,0.046671,0.046671
5.760000,3.423778,0.838762,0.538762,2.238762,0.109025,0.046725,0.046725,0.046725
5.800000,3.428141,0.840632,0.540632,2.240632,0.109132,0.046771,0.046771,0.046771
5.840000,3.432508,0.842504,0.542504,2.242504,0.109219,0.046808,0.046808,0.046808
5.880000,3.436878,0.844376,0.544376,2.244376,0.109288,0.046838,0.046838,0.046838
5.920000,3.441251,0.846250,0.546250,2.246250,0.109336,0.046858,0.046858,0.046858
5.960000,3.445625,0.848125,0.548125,2.248125,0.109365,0.046871,0.046871,0.046871
6.000000,3.450000,0.850000,0.550000,2.250000,0.109375,0.046875,0.046875,0.046875
6.040000,3.454375,0.851875,0.551875,2.251875,0.109365,0.046871,0.046871,0.046871
6.080000,3.458749,0.853750,0.553750,2.253750,0.109336,0.046858,0.046858,0.046858
6.120000,3.463122,0.855624,0.555624,2.255624,0.109288,0.046838,0.046838,0.046838
6.160000,3.467492,0.857496,0.557496,2.257496,0.109219,0.046808,0.046808,0.046808
6.200000,3.471859,0.859368,0.559368,2.259368,0.109132,0.046771,0.046771,0.046771
6.240000,3.476222,0.861238,0.561238,2.261238,0.109025,0.046725,0.046725,0.046725
6.280000,3.480581,0.863106,0.563106,2.263106,0.108899,0.046671,0.046671,0.046671
6.320000,3.484934,0.864972,0.564972,2.264972,0.108754,0.046609,0.046609,0.046609
6.360000,3.489281,0.866835,0.566835,2.266835,0.108589,0.046538,0.046538,0.046538
6.400000,3.493621,0.868695,0.568695,2.268695,0.108405,0.046459,0.046459,0.046459
6.440000,3.497953,0.870551,0.570551,2.270551,0.108202,0.046372,0.046372,0.046372
6.480000,3.502276,0.872404,0.572404,2.272404,0.107979,0.046277,0.046277,0.046277
6.520000,3.506591,0.874253,0.574253,2.274253,0.107738,0.046173,0.046173,0.046173
6.560000,3.510895,0.876098,0.576098,2.276098,0.107478,0.046062,0.046062,0.046062
6.600000,3.515189,0.877938,0.577938,2.277938,0.107198,0.045942,0.045942,0.045942
6.640000,3.519471,0.879773,0.579773,2.279773,0.106900,0.045814,0.045814,0.045814
6.680000,3.523741,0.881603,0.581603,2.281603,0.106583,0.045679,0.045679,0.045679
6.720000,3.527997,0.883427,0.583427,2.283427,0.106248,0.045535,0.045535,0.045535
6.760000,3.532240,0.885246,0.585246,2.285246,0.105893,0.045383,0.045383,0.045383
6.800000,3.536468,0.887058,0.587058,2.287058,0.105521,0.045223,0.045223,0.045223
6.840000,3.540682,0.888864,0.588864,2.288864,0.105130,0.045056,0.045056,0.045056
6.880000,3.544879,0.890662,0.590662,2.290662,0.104720,0.044880,0.044880,0.044880
6.920000,3.549059,0.892454,0.592454,2.292454,0.104292,0.044697,0.044697,0.044697
6.960000,3.553222,0.894238,0.594238,2.294238,0.103847,0.044506,0.044506,0.044506
7.000000,3.557366,0.896014,0.596014,2.296014,0.103383,0.044307,0.044307,0.044307
7.040000,3.561492,0.897782,0.597782,2.297782,0.102902,0.044101,0.044101,0.044101
7.080000,3.565598,0.899542,0.599542,2.299542,0.102402,0.043887,0.043887,0.043887
7.120000,3.569684,0.901293,0.601293,2.301293,0.101886,0.043665,0.043665,0.043665
7.160000,3.573749,0.903035,0.603035,2.303035,0.101351,0.043436,0.043436,0.043436
7.200000,3.577792,0.904768,0.604768,2.304768,0.100800,0.043200,0.043200,0.043200
7.240000,3.581813,0.906491,0.606491,2.306491,0.100231,0.042956,0.042956,0.042956
7.280000,3.585810,0.908204,0.608204,2.308204,0.099646,0.042705,0.042705,0.042705
7.320000,3.589784,0.909907,0.609907,2.309907,0.099044,0.042447,0.042447,0.042447
7.360000,3.593734,0.911600,0.611600,2.311600,0.098425,0.042182,0.042182,0.042182
7.400000,3.597658,0.913282,0.613282,2.313282,0.097789,0.041910,0.041910,0.041910
7.440000,3.601557,0.914953,0.614953,2.314953,0.097138,0.041631,0.041631,0.041631
7.480000,3.605429,0.916612,0.616612,2.316612,0.096470,0.041344,0.041344,0.041344
7.520000,3.609274,0.918260,0.618260,2.318260,0.095787,0.041051,0.041051,0.041051
7.560000,3.613091,0.919896,0.619896,2.319896,0.095087,0.040752,0.040752,0.040752
7.600000,3.616881,0.921520,0.621520,2.321520,0.094373,0.040445,0.040445,0.040445
7.640000,3.620641,0.923132,0.623132,2.323132,0.093642,0.040132,0.040132,0.040132
7.680000,3.624372,0.924731,0.624731,2.324731,0.092897,0.039813,0.039813,0.039813
7.720000,3.628073,0.926317,0.626317,2.326317,0.092137,0.039487,0.039487,0.039487
7.760000,3.631743,0.927890,0.627890,2.327890,0.091363,0.039155,0.039155,0.039155
7.800000,3.635381,0.929449,0.629449,2.329449,0.090573,0.038817,0.038817,0.038817
7.840000,3.638988,0.930995,0.630995,2.330995,0.089770,0.038473,0.038473,0.038473
7.880000,3.642563,0.932527,0.632527,2.332527,0.088953,0.038123,0.038123,0.038123
7.920000,3.646104,0.934045,0.634045,2.334045,0.088122,0.037767,0.037767,0.037767
7.960000,3.649612,0.935548,0.635548,2.335548,0.087277,0.037405,0.037405,0.037405
8.000000,3.653086,0.937037,0.637037,2.337037,0.086420,0.037037,0.037037,0.037037
8.040000,3.656526,0.938511,0.638511,2.338511,0.085549,0.036664,0.036664,0.036664
8.080000,3.659930,0.939970,0.639970,2.339970,0.084666,0.036285,0.036285,0.036285
8.120000,3.663299,0.941414,0.641414,2.341414,0.083770,0.035901,0.035901,0.035901
8.160000,3.666632,0.942842,0.642842,2.342842,0.082862,0.035512,0.035512,0.035512
8.200000,3.669928,0.944255,0.644255,2.344255,0.081942,0.035118,0.035118,0.035118
8.240000,3.673187,0.945652,0.645652,2.345652,0.081011,0.034719,0.034719,0.034719
8.280000,3.676408,0.947032,0.647032,2.347032,0.080068,0.034315,0.034315,0.034315
8.320000,3.679592,0.948397,0.648397,2.348397,0.079114,0.033906,0.033906,0.033906
8.360000,3.682737,0.949745,0.649745,2.349745,0.078150,0.033493,0.033493,0.033493
8.400000,3.685844,0.951076,0.651076,2.351076,0.077175,0.033075,0.033075,0.033075
8.440000,3.688911,0.952391,0.652391,2.352391,0.076190,0.032653,0.032653,0.032653
8.480000,3.691939,0.953688,0.653688,2.353688,0.075195,0.032227,0.032227,0.032227
8.520000,3.694927,0.954969,0.654969,2.354969,0.074191,0.031796,0.031796,0.031796
8.560000,3.697874,0.956232,0.656232,2.356232,0.073177,0.031362,0.031362,0.031362
8.600000,3.700781,0.957478,0.657478,2.357478,0.072155,0.030924,0.030924,0.030924
8.640000,3.703647,0.958706,0.658706,2.358706,0.071124,0.030482,0.030482,0.030482
8.680000,3.706471,0.959916,0.659916,2.359916,0.070086,0.030037,0.030037,0.030037
8.720000,3.709253,0.961109,0.661109,2.361109,0.069039,0.029588,0.029588,0.029588
8.760000,3.711994,0.962283,0.662283,2.362283,0.067985,0.029136,0.029136,0.029136
8.800000,3.714692,0.963439,0.663439,2.363439,0.066923,0.028681,0.028681,0.028681
8.840000,3.717348,0.964578,0.664578,2.364578,0.065855,0.028224,0.028224,0.028224
8.880000,3.719960,0.965697,0.665697,2.365697,0.064781,0.027763,0.027763,0.027763
8.920000,3.722530,0.966799,0.666799,2.366799,0.063701,0.027300,0.027300,0.027300
8.960000,3.725056,0.967881,0.667881,2.367881,0.062615,0.026835,0.026835,0.026835
9.000000,3.727539,0.968945,0.668945,2.368945,0.061523,0.026367,0.026367,0.026367
9.040000,3.729978,0.969991,0.669991,2.369991,0.060427,0.025897,0.025897,0.025897
9.080000,3.732373,0.971017,0.671017,2.371017,0.059327,0.025426,0.025426,0.025426
9.120000,3.734724,0.972025,0.672025,2.372025,0.058222,0.024952,0.024952,0.024952
9.160000,3.737031,0.973013,0.673013,2.373013,0.057114,0.024477,0.024477,0.024477
9.200000,3.739293,0.973983,0.673983,2.373983,0.056002,0.024001,0.024001,0.024001
9.240000,3.741511,0.974933,0.674933,2.374933,0.054888,0.023523,0.023523,0.023523
9.280000,3.743684,0.975865,0.675865,2.375865,0.053771,0.023045,0.023045,0.023045
9.320000,3.745813,0.976777,0.676777,2.376777,0.052652,0.022565,0.022565,0.022565
9.360000,3.747896,0.977670,0.677670,2.377670,0.051531,0.022085,0.022085,0.022085
9.400000,3.749935,0.978544,0.678544,2.378544,0.050410,0.021604,0.021604,0.021604
9.440000,3.751929,0.979398,0.679398,2.379398,0.049288,0.021123,0.021123,0.021123
9.480000,3.753878,0.980234,0.680234,2.380234,0.048165,0.020642,0.020642,0.020642
9.520000,3.755782,0.981050,0.681050,2.381050,0.047042,0.020161,0.020161,0.020161
9.560000,3.757642,0.981846,0.681846,2.381846,0.045921,0.019680,0.019680,0.019680
9.600000,3.759456,0.982624,0.682624,2.382624,0.044800,0.019200,0.019200,0.019200
9.640000,3.761226,0.983382,0.683382,2.383382,0.043681,0.018720,0.018720,0.018720
9.680000,3.762950,0.984122,0.684122,2.384122,0.042564,0.018242,0.018242,0.018242
9.720000,3.764631,0.984842,0.684842,2.384842,0.041449,0.017764,0.017764,0.017764
9.760000,3.766266,0.985543,0.685543,2.385543,0.040337,0.017287,0.017287,0.017287
9.800000,3.767858,0.986225,0.686225,2.386225,0.039229,0.016813,0.016813,0.016813
9.840000,3.769405,0.986888,0.686888,2.386888,0.038125,0.016339,0.016339,0.016339
9.880000,3.770908,0.987532,0.687532,2.387532,0.037025,0.015868,0.015868,0.015868
9.920000,3.772367,0.988157,0.688157,2.388157,0.035930,0.015399,0.015399,0.015399
9.960000,3.773782,0.988764,0.688764,2.388764,0.034841,0.014932,0.014932,0.014932
10.000000,3.775154,0.989352,0.689352,2.389352,0.033758,0.014468,0.014468,0.014468
10.040000,3.776483,0.989921,0.689921,2.389921,0.032681,0.014006,0.014006,0.014006
10.080000,3.777769,0.990472,0.690472,2.390472,0.031611,0.013548,0.013548,0.013548
