time_sec,q_ref_axis_e,q_ref_axis_d,q_ref_axis_c,q_ref_axis_b,qdot_ref_axis_e,qdot_ref_axis_d,qdot_ref_axis_c,qdot_ref_axis_b
0.000000,3.100000,0.700000,0.400000,2.100000,0.000000,0.000000,0.000000,0.000000
0.040000,3.100007,0.700003,0.400003,2.100003,0.000515,0.000221,0.000221,0.000221
0.080000,3.100054,0.700023,0.400023,2.100023,0.002017,0.000864,0.000864,0.000864
0.120000,3.100181,0.700077,0.400077,2.100077,0.004446,0.001905,0.001905,0.001905
0.160000,3.100422,0.700181,0.400181,2.100181,0.007741,0.003318,0.003318,0.003318
0.200000,3.100811,0.700347,0.400347,2.100347,0.011845,0.005077,0.005077,0.005077
0.240000,3.101379,0.700591,0.400591,2.100591,0.016700,0.007157,0.007157,0.007157
0.280000,3.102156,0.700924,0.400924,2.100924,0.022250,0.009536,0.009536,0.009536
0.320000,3.103168,0.701358,0.401358,2.101358,0.028439,0.012188,0.012188,0.012188
0.360000,3.104439,0.701902,0.401902,2.101902,0.035215,0.015092,0.015092,0.015092
0.400000,3.105992,0.702568,0.402568,2.102568,0.042525,0.018225,0.018225,0.018225
0.440000,3.107847,0.703363,0.403363,2.103363,0.050318,0.021565,0.021565,0.021565
0.480000,3.110023,0.704296,0.404296,2.104296,0.058545,0.025091,0.025091,0.025091
0.520000,3.112536,0.705373,0.405373,2.105373,0.067156,0.028781,0.028781,0.028781
0.560000,3.115400,0.706600,0.406600,2.106600,0.076105,0.032616,0.032616,0.032616
0.600000,3.118628,0.707984,0.407984,2.107984,0.085345,0.036577,0.036577,0.036577
0.640000,3.122231,0.709528,0.409528,2.109528,0.094833,0.040643,0.040643,0.040643
0.680000,3.126218,0.711236,0.411236,2.111236,0.104523,0.044796,0.044796,0.044796
0.720000,3.130595,0.713112,0.413112,2.113112,0.114375,0.049018,0.049018,0.049018
0.760000,3.135369,0.715158,0.415158,2.115158,0.124347,0.053292,0.053292,0.053292
0.800000,3.140544,0.717376,0.417376,2.117376,0.134400,0.057600,0.057600,0.057600
0.840000,3.146122,0.719766,0.419766,2.119766,0.144495,0.061926,0.061926,0.061926
0.880000,3.152104,0.722330,0.422330,2.122330,0.154594,0.066255,0.066255,0.066255
0.920000,3.158489,0.725067,0.425067,2.125067,0.164663,0.070570,0.070570,0.070570
